"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
36,42419576,7725878.5,76194.5,4109.9521484375,1920903.875,1001772.5,11058707,0,21787672,320927.71875,423969.0625,5378218,6123113.5,6935.3212890625,0,1354650,0,0,0,1361585.25,0,0,0,47016.796875,8237428,0,10582.71484375,9916.177734375,1702.16967773438,3321959.5,1511655.125,13147270,6934.33447265625,0
37,35442449.609375,3528152.38693237,324287.125,168469,1243931.27539062,403731.515625,10146553.8886719,0,15815138.4453125,139112.859375,198028.40625,3200052.03848267,3537194.53848267,25698.326171875,3053.04760742188,1630381.74023438,0,0,0,1659131.24023438,0,0,0,132617.15625,8624135.04296875,0,0,27969.91796875,680613,2683311.37890625,2174092.5,14431129.4882812,106120.051757812,2189.30004882812
38,294143472,45040332.5,6141601.84765625,1015261.8125,8681095.5625,22279340.5625,102384486,538069.5,186079863,1349889.984375,2297480.546875,33628784,37276127.875,107219.429199219,18555.158203125,8676887.546875,0,0,0,8840492.1875,0,37820.796875,2358406.74609375,469271.796875,33378748,630461.6875,15987584.5,98972.931640625,183418.921875,4609585.375,4135458.375,61947361.5,30229.9296875,65314.90234375
39,55717299.1875,8463889.07446289,580193.1875,31690.181640625,1881554.76318359,1375909.15136719,20620796.4609375,0,32954048.6796875,417447.71875,987745.71875,5816097.91381836,7221284.41381836,2224.09100341797,0,1016478.1328125,0,0,0,1020527.0390625,0,1824.72509765625,35642.5913085938,50980.0966796875,8997622.046875,9484.11926269531,2338293.125,10752.0703125,399.445373535156,2225528.01367188,827024.8125,14521425.96875,25181.73046875,524.864624023438
40,44831761.84375,5321668.51367188,32661.33984375,4605.50634765625,1782685.79443359,895238.164550781,17867739.2539062,0,25904599.8671875,172268.0625,568242.625,3041138.57748795,3781648.07748795,15368.595703125,1858.16271972656,787590.375,0,0,0,806650.4375,0,1833.17272949219,276345.53125,166218.46875,7687284.578125,73533.1171875,3719775.75,35056.69140625,155327.78125,1355030,811366.75,14338880.25,58588.5517578125,383.009338378906
41,13190688.5,942076.84375,21446.9091186523,0,289037.5859375,67766.798828125,2812505.75,0,4132832.125,41986.25,12096.2860107422,400253.2890625,454335.546875,10553.40625,0,664735.46875,0,0,0,675288.875,0,0,0,12158.9013671875,6202342.5,0,0,2564.40014648438,0,1166901.65625,520290.733398438,7928243.75,23966.8776855469,0
42,13031616.75,797424.8828125,28554.845703125,22874.5551757812,345198.8046875,103635.41015625,1436536.03125,0,2734222.375,42836.81640625,0,363427.28125,406263.875,3394.416015625,0,831898.71875,0,0,0,835293.34375,0,0,24528.21484375,16865.017578125,4788551,6526.70166015625,2010025.375,3556.95458984375,0,1569289.4375,497086.015625,9055835,139430.37890625,0
43,40757037.5,5240741.0625,93574.6171875,36680.6427001953,1561457.8125,370972.359375,15803748.5,0,23107170.75,0,880224.97265625,2556229.6875,3436455.65625,4243.41455078125,0,346346.375,0,0,0,350589.84375,0,0,0,219241.02734375,9619532.75,0,0,46239.45703125,125898.8046875,2649796.8125,1184152.3125,13862822.5,17523.3779296875,411.38037109375
44,23460065.203125,2428142.25927734,15274.4402770996,10972.4765625,882784.252441406,190992.689941406,7772625.79492188,0,11300797.8554688,336118.70703125,19278.3852539062,1525629.8213501,1881025.6338501,2591.09765625,36376.875,388974.804199219,0,0,0,427942.804199219,0,0,0,31779.181640625,6227592.87109375,0,0,6702.4577331543,0,2651910.98828125,895615.13671875,9850288,36705.0380859375,0
45,142273523.5,25379148.25,1453486.328125,346564.03125,5727243.9609375,4046173.41796875,36838047.65625,516966.9375,74307407.75,2034506.25,1488801.2824707,16439501.6875,19962824.25,94615.1971435547,16783.12890625,4196446.734375,0,0,0,4321222.578125,0,13377.09375,1379128.875,454534.689453125,28068732.1875,368569.625,5833865.5,95863.9057617188,622743.3125,3404350.359375,2537581.75,43682028.875,693805.375,223228.25
46,14990090,789942.560546875,81356.0703125,0,359701.171875,372047.60546875,2237076.03125,0,3840119.65625,230358.197265625,76647.2631835938,608107.921875,915113.5703125,7010.927734375,0,444187.28125,0,0,0,451198.25,0,0,124689.6328125,41635.1318359375,4662367.375,33178.5986328125,3012887.9375,8781.14794921875,0,1205014.90625,652347.234619141,9783658,42766.697265625,0
47,157168232.164062,24018854.5449219,598378.0625,97938.6484375,5830571.80187988,7056055.88897705,67134233.2714844,0,104736008.655273,2030985,3206068.81732178,13079370.2598038,18316422.32621,14448.71875,5919.048828125,958766.1875,0,0,0,982645.875,1974.45190429688,1537.49987792969,770425,235584.914855957,21142595.4082031,206243.65625,3305951.25,49686.5765533447,216846.53125,3224470.203125,3895214.015625,33133296.4550781,35488.4609375,50774.71484375
48,16860490.2382812,1204164.03515625,40106.3312988281,1400.25439453125,439630.816162109,143008.3984375,2268379.49169922,0,4096695.51904297,123880.9453125,16226.349609375,1139466.37890625,1279572.37890625,43840.7390136719,0,1851831.8125,0,0,0,1895672.8125,0,0,0,83469.1840820312,5682377.09375,0,0,17604.2592773438,0,2091211.75,1663547.078125,9588579.53515625,50406.419921875,0
49,61828164,12114550,416453.171875,132578.110717773,2236200.1875,1437318.59375,22811911.3125,0,39149005,99757,362407.01953125,7088451.25,7550617.25,12021.4326171875,106.444427490234,1243821.0625,0,0,0,1255949.3125,0,0,111858.4921875,82995.4140625,8505126.71875,29764.369140625,1948448.375,17504.3354492188,820.194511413574,2129265.8125,1038303.25,13872710.625,5395.79028320312,3243.75830078125
50,27581214,3184900.75,2547.7119140625,0,567920.1875,75179.375,5372514.5,0,9203046,103448,22367.51171875,2129767,2255582,2457.2109375,0,373650.84375,0,0,0,376108.03125,0,0,198729.9375,67879.453125,7289317,52879.94140625,4128603.5,14316.25,0,1865348.875,2081582.375,15746436,44149.3125,3636.22412109375
51,16134962,1160411.875,72398.3046875,0,449807,111123.7265625,2099823.75,0,3893561.5,102757.03125,29263.693359375,994881.9375,1126901.875,4224.51318359375,0,1419327.375,0,0,0,1423551.875,0,0,0,19250.9921875,6767587,0,0,4060.1748046875,0,1388925.25,1424126,9690919,52383.265625,34593.78125
52,47269989.75,6400080.984375,153319.658569336,3178.806640625,2282799.703125,1415072.8046875,18812019.3125,0,29066438.375,337922.125,45240.0765380859,4947595.84765625,5330756.12890625,6023.3173828125,1693.26599121094,344909.8125,0,0,0,352626.15625,0,0,0,73995.3898925781,8747204.875,0,0,15606.1569519043,0,1804223.03125,1870376.828125,12520152.1875,8743.15435791016,0
53,92095160,18789968,441745.65625,9166.294921875,3519046.5,3754059.5,23544602,200593.734375,50259344,1308067.875,973706.875,14431983,16713748,29639.322265625,1823.09191894531,2456009,0,0,0,2487468.75,0,0,637172.0625,181955.4375,10904923,169921.328125,4396090.5,38375.7265625,351523.3125,4098716.25,1824943.375,22634880,25406.25390625,5820.796875
54,18110430,1421298.125,6913.337890625,0,530900.5,170448.515625,4318434.5,0,6447982.5,120635.9296875,15868.5283203125,491920.4375,628425.5,24077.521484375,0,959898.9375,0,0,0,983976.5625,0,0,0,86556.5234375,6652825,0,82403.9140625,18255.369140625,285.470275878906,1760081.75,1186463.125,10050099,263244.40625,0
55,8773590.875,391770.962341309,331.775177001953,0,179323.440917969,51241.8822021484,914322.506835938,0,1536991.08398438,185660.90625,5532.81298828125,211314.714422226,402508.573797226,0,0,97965.90625,0,0,0,97965.90625,0,0,0,18085.923828125,4663786.46875,0,0,3814.45043945312,0,874951.920898438,1160598.0859375,6736124.375,14915.466796875,0
56,18883484.6484375,2680082.90209961,43397.9458007812,0,765078.931640625,512782.18296814,3529752.85253906,0,7531094.49511719,302063.373046875,16113.3505859375,1524950.29486084,1843128.02923584,5155.41796875,0,990550.5,0,0,0,995705.71875,0,0,0,31336.9038085938,5640450.03320312,0,0,6609.17913818359,1148.27233886719,1848436.19726562,964390.8125,8513536.921875,21162.9469909668,0
57,17129321,1787161.8125,35430.47265625,1292.02392578125,550877.1875,201548.671875,5154751.125,0,7731063.75,41637.78515625,13774.6787109375,733382.671875,788794.96875,6481.68151855469,0,549947.78125,0,0,0,556429.5625,0,0,0,43212.4169921875,6511472,0,0,9113.80932617188,0,618707.46875,820691.28125,8053022.75,49820.669921875,0
58,20621380,2574770,74576.7421875,3751.275390625,718202.3125,238359.515625,4598068.5,0,8207697,40476.29296875,59302.94921875,2897218.5,2996999.75,4474.95947265625,11893.46875,652629,0,0,0,668998.5625,0,0,14942.419921875,60191.92578125,4949334,3983.927734375,255183.03125,12694.896484375,207274.828125,1717252.375,1511284.25,8747670,15554.7666015625,0
59,43306563.25,3840305.953125,111508.685058594,0,1518288.53125,1476235.03125,14592122.5,0,21538500.25,59459.0703125,261775.462402344,2544422.3984375,2865659.0546875,7214.1201171875,0,1506943.234375,0,0,0,1527361.359375,0,13203.9111328125,53026.443359375,50147.07421875,8829590.4375,14109.7778320312,4989260.3125,10576.3771972656,0,2200155.99609375,1162206.62677002,17375054.5,62340.4332275391,3640.953125
60,90904291,9309883.875,512520.5,47422.3188476562,2914040.625,7888309.65625,32323181.25,0,52995351,105489.5859375,419909.990234375,11617221.3125,12142627.5625,36587.2431640625,3807.38818359375,2957014,0,0,0,3056163.125,0,58754.48046875,117177.1328125,101663.978515625,15918656.25,31211.234375,2367613.25,21441.6380615234,0,2469116.5,1632682.90625,22710036.5,48354.0576171875,2142.01513671875
61,15661659.21875,822545.728515625,9294.578125,0,259762.848632812,134379.842285156,2421455.515625,0,3647434.03125,14456.4912109375,48727.5546875,575283.478759766,638467.041259766,9211.3916015625,0,571826.6875,0,0,0,581038,0,0,148258.765625,110197.29296875,4630007.265625,39450.10546875,2858646,23241.3978881836,377.076446533203,2287402.90625,655444.375,10794721.5,34189.4921875,7518.33154296875
62,47764699,6456128.125,118085.428409576,3055.30322265625,1411501.21875,1238605.2109375,14036493.25,0,23263845.25,465798.984375,175429.325439453,4719578.75,5360804.875,52918.24609375,0,2694592.4375,0,0,0,2757518.9375,0,10006.4208984375,51841.2177734375,114608.646484375,10370085.875,13794.4030761719,1931358.4375,24171.7866210938,164919.65625,2369174.6875,1314195.5390625,16382482.75,21037.9458007812,7286.6328125
63,25189181,2405578.015625,80457.6586914062,138.913696289062,751388.4453125,818408.6640625,8169107.875,0,12225074.375,268473.7890625,47549.6483459473,998977.8515625,1315001.90625,7296.0244140625,0,542373.1875,0,0,0,549669.3125,0,0,0,51093.1484375,7833659.3125,0,0,10775.9133300781,0,1057965.375,2124935.40625,11099500.625,21059.6872558594,0
64,88887264,13312221.75,479616.179199219,138045,2556734.71875,1977389.9921875,28553794,0,47017810,434540.5,1208051.50976562,8022817.40625,9665399.125,49583.70703125,2899.22509765625,2115234.015625,0,0,0,2167716.421875,0,0,455430.328125,280900.06640625,17005782.5,121291.0390625,5201608.875,59243.7734375,57507.34765625,3924863.125,2640414.15625,30036444,31327.705078125,258081.997314453
65,12613070.25,456823.505859375,49410.4609375,16104.275390625,214742.1171875,38263.0375976562,1082061.953125,0,1857405.171875,70343.09765625,3464.64208984375,291877.890625,365685.771484375,32079.2114257812,0,964820.9375,0,0,0,996900.609375,0,0,0,34770.6015625,6061605.5,0,0,7333.380859375,0,2043730.28125,1219498.34375,9393088.5,26155.1083984375,0
66,39376226,3270367.35546875,84727.1330566406,2579.17724609375,1178115.69921875,478700.921386719,12150209.5625,0,17164709.53125,146603.96875,38745.09375,2382863.3515625,2568214.4765625,38392.3498535156,3878.75971221924,1989626.09375,0,0,0,2031896.84375,0,0,365562.73828125,104075.60546875,9316544.53125,97312.7900390625,4586908.6875,21950.2872314453,0,1508000,1584941.41992188,17611437.75,25211.3571777344,917.330993652344
67,18529888.5,2147331.375,13975.8098144531,0,596550.78125,192863.99609375,5637834.875,0,8588553.25,134876.38671875,4271.0234375,1238835.875,1377984,2477.68774414062,0,390640.015625,0,0,0,393117.640625,0,0,0,26403.2080078125,6270591.875,0,0,5568.62924194336,0,1196755.875,646458.546875,8170231.25,24460.3857421875,0
