"state","grand_total_t_10m2","building_hard_lr","building_hard_mr","building_high","building_sky","building","building_wood_lr","building_wood_mr","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_shinkansen","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_gravel","street_living_street","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_tunnel"
"JP_OS",1336394081.875,188268274.109375,535509155.609375,7732.5302734375,7824599.734375,886954131.65625,89020093.921875,66325333.5351562,1243328.9375,10777369.90625,399954563.4375,411974885.4375,4268137,6396.22520446777,1799606.12109375,1055048.15625,128023.997070312,67184.4285888672,3734350.625,12991656.375,4983.09228515625,1927916.6875,1354205.7421875,544106.5859375,13060.0595703125,26737.4233398438,14986.5356445312,3269811.08203125,6001.17276000977,3006490.65625,1218333.43359375,14546729.75,24473657.5625,473163.375
"JP_OT",511812682.234375,103566941.444092,87152566.6679688,0,0,221101373.652344,24239608.7915039,6142177.0390625,402166.69921875,2819982.109375,140816887.130859,144038801.130859,94802.9434509277,978.28759765625,793998.422241211,0,0,0,0,1339606.61035156,0,449804.485351562,149150.505859375,1547219.8125,180791.610168457,6816222.918396,1647.75495910645,13794364.5888672,17064.8900146484,13069314.0625,14536401.125,92038954.2128906,145329572.8125,3178725.13574219
"JP_OY",653499205.561523,147656627.82373,146756032.906494,0,0,368126039.409668,55899976.1634216,17813882.2657986,557912.125,5265436.125,243563382.158691,249387118.158691,1393087.453125,0,1510474.578125,353328.8671875,0,0,0,6873203.5,1152.29455566406,3615167.625,259896.036132812,224087.583984375,5086.0810546875,23539.4294433594,2874.32064819336,5947707.5,2471.5565032959,6672830.875,7737743.8125,6446674.25,29112075.5,1789181.8125
"JP_SG",275403921.195312,76057569.203125,47818626.3349609,0,0,148126281.0625,18381771.9174805,5868481.11181641,192147.484375,3079487.828125,106600860.105469,109872672.105469,502771.34375,65.5710010528564,523771.3515625,61242.42578125,0,0,0,2142679.75,0,1054823.09375,67347.134765625,211085.125,27893.9494628906,371163.21875,742.824645996094,3919759.5625,2328.14447021484,1130381.390625,1360421.125,7981964.25,15262247.5,189166.19921875
"JP_SH",435637482.049835,111261361.197556,78696528.0154724,0,0,239689894.213013,41421904.125,8310719.03125,0,4509751.78125,173792777.3368,178302523.3368,1099796.46484375,511.862844467163,1003630.74609375,406997.212890625,0,0,0,3627495.21875,83.0279998779297,1116463.43652344,63827.5390625,140077.895202637,15242.6647949219,96228.2996826172,703.979431152344,2942350.125,1544.97531318665,881650.15625,2738919.15429688,6044602.7109375,14015170.921875,1090018.77880859
"JP_SM",274409191.0625,45597784.5097656,55722044.2174377,0,0,125452679.070312,16016673.7463379,8116202.59375,324571.46875,2133691.02539062,80167598.5703125,82625786.5703125,86304.9096679688,10604.7153320312,667102.33203125,0,0,0,0,1260377.2578125,0,496351.578125,62364.1361694336,695430.044677734,71151.8116455078,2365234.65234375,692.58013343811,8519157.125,7670.18742752075,10506127.671875,8702084.41503906,32417132.953125,65070673.21875,1723483.15478516
"JP_ST",1638704288,349820473,543967070,0,324014.96875,1043111912,98261893,50738735,541884.1875,11024848.09375,509434886,521000466,3598823.625,920.369873046875,2468762.953125,479453.75,11112.1513671875,90754.140625,449185.875,7460801.3125,0,361793.159179688,798618.305664062,828477,493798.545898438,126780.210449219,8882.81536865234,7437870.15625,9137.60919189453,4908284.5,4650000.1875,47118461.75,67131150,750787.359375
"JP_SZ",1108847147.25879,269165735.125,246774037.625,0,243463.09375,641300041.75,91526194.0546875,33590604.4726562,1278462.32617188,13940605.4394531,418833403.75,434051986,1135459.83569336,1034.35256958008,1530110.75390625,798937.697265625,0,0,0,7268110.796875,0,3802542.72613525,277765.380859375,458696.631103516,416256.620178223,262396.543640137,3067.16678619385,5721292.1640625,5059.16075754166,3384092.546875,4079778.27539062,10667962.5351562,26229194.4072266,952838.7265625
"JP_TC",783121440,191680808,170141048,0,0,444493040,60760102,21911357,193518.453125,5992169.25,289494584,295680064,2380866.125,477.279075622559,1209859.125,484861.28125,0,0,0,5093634.375,0,1017557.80566406,116418.203125,742801.890625,235366.96875,463817.1484375,1284.87561035156,9295630,8192.66796875,6179196,3719036.125,16640293.5,37854610,452669.296875
"JP_TK",2005025852.17529,364319153.991501,1027070384.59265,367183.42578125,35434739.1796875,1463996267.08411,21252926.6015625,15550871.7480469,4602097.56640625,10339308.40625,411392268.62999,426333134.37999,4598914.2514801,9101.09362792969,3171664.16113281,490882.2734375,375907.234375,361613.806640625,10120674.8515625,22346726.65625,3951.12210083008,3214021.97900391,2447795.3125,1527925.83996582,42944.5339927673,151273.659637451,27278.8121337891,5491296.72021484,16852.1204807758,7099162.54980469,3882209.03759766,69096267.9299469,92348533.3361969,2565403.8815918
"JP_TS",295293028.28125,84244093.765625,46873545.3125,0,0,152864990.34375,17725874.1010742,4021021.37133789,350998.53125,1922172.08203125,102158805.015625,104431873.078125,62555.3431091309,333.234008789062,390338.858398438,0,0,0,0,810292.650390625,0,357092.375,229450.28515625,825024.20703125,29430.1711730957,23097.76171875,2530.703125,11165028.21875,9099.56512451172,8829819.875,6699082.640625,8214623.46875,37185169.09375,1158241.75
"JP_TT",154270046.128906,32654500.7424316,25074043.6875,0,0,76296550.25,14474824.4842834,4093215.61523438,104933.8125,1621251.97729492,61558007.2143555,63284178.5893555,82385.51953125,99.1650161743164,548957.78125,0,0,0,0,926474.981689453,0,295030.953125,16745.4086914062,148197.533203125,8126.7666015625,168137.479492188,184.691963195801,1521156.953125,1634.53128051758,1746783.75,1470511.921875,8404925.6875,13762758.125,276366.3515625
"JP_TY",368796844,94248976,44926998,0,0,187929452,40707252.5,8046748,101983.15625,6459567,164110914,170672672,2016796,263.373046875,645359.84375,430198.375,0,0,0,4847576.5,2759.1572265625,1752161.125,10000.8974609375,39067.916015625,971.568908691406,43428.072265625,113.676025390625,1187648.16796875,430.89591217041,1583197.828125,865997.453125,1510386.34375,5347772.875,106546.38671875
"JP_WK",339103020.5,71385055.625,101002923.375,0,0,213277136,23025726.8125,17863153.234375,96078.625,2230367.02734375,118620561.75,120946972,65506.8255615234,87.7800140380859,687616.140625,0,0,0,0,1317472.09765625,0,564270.62109375,10957.2465820312,25455.93359375,4639.58251953125,3164.9748916626,120.779983520508,1685581.19921875,280.764068603516,334763.409667969,257454.431640625,513518.071777344,3560980.25,725055.53125
"JP_YC",472446508,114292745.875,76990576.1796875,0,0,236534402.90625,37409777.7460938,7840843.13964844,1466201.5,2868180.47705078,172198923.78125,176533020.9375,1104468.56365967,749.496063232422,1336024.32278442,625211.6875,0,0,0,8699680.46951294,0,5633175.5625,70312.00390625,454730.757324219,43021.5379638672,2334480.56640625,775.476104736328,7816585.078125,5015.41498947144,7263201.0625,5596261.9765625,26221574.546875,50677728.25,872138.310546875
"JP_YN",273405248,54834561.125,46311406.75,0,0,137554310.5,28473916.40625,7934283.546875,19946.99609375,3257877.8671875,110321045,113598781.75,81413.8835449219,4057.92618751526,574133.96875,0,0,0,0,1793432.75,0,1133825.60546875,247684.842285156,165212.890625,141346.537109375,890977.5078125,2742.69317150116,3886085.40917969,1822.19964599609,2948336.12744141,2684250.41894531,8011163.09375,20458427.3125,1478733.953125
"JP_YT",486012825.875,103914004.25,42935275.2109375,0,0,179904612.625,28617308.09375,4437993.09570312,191820.0625,3199751.47363281,158061076.125,161452656,120359.247070312,210.837036132812,733569.123046875,461846.296875,0,0,0,2109446.19140625,0,793476.7890625,256719.18359375,1621024.6105957,2830775.28417969,4966675.046875,2847.37164306641,18695556.3242188,17878.9750976562,17530456.5,13945364.9101562,80339946.78125,142546675.40625,2339427.76757812
