"zone","mass_grand_t_10m2","mass_building_ci","mass_building_dlr","mass_building_mixed","mass_building_sdr","mass_building","mass_building_traditional","mass_other_airport","mass_other_parking","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
45,4044586.8125,29046.8100891113,3841.78369140625,1249.37887334824,153475.454101562,355385.291992188,167771.939453125,0,0,0,0,0,0,0,0,0,0,0,0,0,10265.2917480469,2009974.625,0,0,2165.02398681641,0,1252544.4375,379936.203125,3689205.3125,34281.3669433594,0
46,6479433.375,19704.7648468018,13607.9766845703,23474.849609375,715061.670898438,1316754.63867188,544903.984375,236743.75,715.071105957031,237458.828125,0,0,0,0,0,0,0,0,0,0,1472.80883789062,2915159.0859375,0,0,310.6259765625,0,1014392.25390625,915050.186523438,4925225.125,78843.1791992188,0
47,15607833,25542.7338867188,16372.3657226562,62922.099609375,2170913.75,4807260.75,2531519.1875,0,1298.3134765625,1298.3134765625,0,0,0,0,0,0,0,0,0,0,23008.1625976562,6794843.75,0,0,4852.5869140625,0,887327.5,2749576.875,10799238.25,339635.921875,0
48,11736026,91697.310546875,21665.2568359375,70202.8828125,2823768.375,3639634.75,632314.90625,0,15708.7364196777,15708.7364196777,0,0,0,0,0,0,0,0,0,0,7062.03930664062,4703455.25,0,0,1489.43481445312,1364189.375,482909.5,1204510,8080686.75,317085.0234375,0
49,16182914,69241.0712890625,5270.19116210938,22574.8394775391,937665.078125,2009978,975222.328125,86464.47265625,0,86464.47265625,0,0,0,0,0,0,0,0,0,0,14823.9851074219,9213209.9375,0,0,3126.48529052734,0,1371189.4375,2886297.3125,14086471,597811.40625,0
50,13419368.09375,22443.3226318359,13222.093132019,45234.7887573242,2031285.0625,5551213.578125,3439036.9765625,0,0,0,0,0,37683.94140625,0,0,0,37683.94140625,0,0,0,5617.85668945312,6139877.6875,0,0,1184.84634399414,0,544582.78125,997518.6796875,7830480.46875,101939.131835938,39762.046875
51,26968950.9375,46697.2960510254,54377.5682144165,196626.646072388,3219987.42578125,6410426.48046875,2892764.36328125,118630.6796875,258.521301269531,118889.1953125,0,0,0,0,0,0,0,0,0,0,5534.84088134766,15624972.0078125,0,0,1167.33787536621,1575765.61328125,0,2073785.97875977,20439694.6953125,1137953.84970093,20564.287109375
52,8578709.71875,24185.6870117188,8076.744140625,42697.9506835938,2743220.78222656,3356454.77441406,538283.845703125,0,3748.84448242188,3748.84448242188,0,0,0,0,0,0,0,0,0,0,6495.24426269531,4034805.04296875,0,0,1369.8936920166,0,293747.75,593752.875,5218496.53125,288343.992889404,0
53,9804796.125,31526.31640625,20467.8972167969,55683.8359985352,960899.09765625,2166707.15625,1098134.828125,0,0,0,0,51070.54296875,0,0,0,0,51070.54296875,0,0,0,0,6486555.625,0,0,0,0,0,933082.03125,7587014.8125,167391.4140625,0
54,6257304.25,41881.2900390625,17929.6713867188,18611.2258300781,1766807.125,2556057,710828.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,13240.9672851562,2353529.5625,0,0,2792.61492919922,0,619678.69140625,607319.046875,3701256.25,104684.375,0
55,16776328,63310.359375,18643.0703125,66828.875,1565354.625,5974471.5,4260367.5,188867.0625,0,188867.0625,0,0,542440.25,0,0,0,542440.25,0,0,0,31315.4375,6231047,0,0,6604.65087890625,0,787038.5625,2967532.25,10070536,46951.78125,0
56,16145498.5,67677.9115753174,33531.9140625,75678.2578125,1489119.296875,6926870.015625,5260874.40625,58359.75,125130.609375,183490.296875,0,566.062866210938,1092564.0546875,0,0,0,1093130.0546875,0,0,0,43960.9841308594,5890132.53125,0,0,9271.68698120117,552367.5625,274453.28125,1036434.875,7942035.71875,135425.136962891,0
57,45227400,413789.53125,1512754.5,2728517.375,13145247.5,18529339,729066.75,1251301.94726562,226199.98828125,1477501.953125,0,0,64710.57421875,0,0,0,64786.2543640137,75.6801452636719,0,157936.90625,51244.8774414062,19657728,42025.39453125,1057187.25,10807.9064941406,1069219.734375,1521484.625,1381763.0625,25155772,181930.453125,24384.927734375
58,16278388.25,14870.7172851562,11078.6707763672,1291.0546875,512195.8125,3016977.625,2477543.75,0,5226.353515625,5226.353515625,0,0,0,0,0,0,0,0,0,0,18316.3623046875,11380295.5,0,0,3863.05288696289,0,0,1682967.78125,13256183,170728.265625,0
