"zone";"area_building_arco";"area_building_dcmix";"area_building_high";"area_building_irh";"area_building_light";"area_building_mlr";"area_building_sdr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
65;0;1357766;414259;9446762;3304256;0;28705887;0;552195;3345626;35921994;109998;464107;70669;3024155;0;0;33079;0;184621;50306;646254;119706;47032;381459;255814;1392;50306;218931;1185660;646254;1987317;26596;3341;1188725;9539706;1500;645790;860;1435396;117126;3722448;29933
66;0;85561;20983;935413;525213;0;4669486;0;0;270075;3891663;14786;4749;625;428682;0;66632;60986;80224;10566;0;54597;29345;12915;65818;12081;2919;0;0;0;54597;156563;754;917;197645;1406518;0;71360;0;144923;711;136916;17
67;0;187195;13987;588003;316647;0;2728866;0;0;336517;3405471;916;0;0;168152;0;0;0;0;0;9992;228822;20500;251;15059;1581;0;9992;0;0;228822;126069;11268;821;130475;338109;1056;41577;0;49608;72786;107302;709
68;0;175739;55167;3602365;931416;0;8087296;0;88970;1939377;6433460;31033;90139;45278;841074;0;0;0;0;25246;16384;615972;550675;127209;219442;59137;0;16384;9962;149804;615972;909483;1393;520;325849;1866997;309;94389;10874;814779;45704;767564;3633
69;0;335484;116121;1385624;567331;0;5007812;0;99119;635645;5486901;101852;102472;1041;805299;2805;175028;45960;0;210174;0;205611;29746;4569;81306;9928;16493;0;0;0;205611;179071;4171;10875;282758;1444943;0;66187;1633;88224;20145;195306;890
70;0;353574;47594;8740972;5932354;0;39467624;0;2009996;4235616;18425934;69256;1569612;479529;3764894;0;0;0;0;1762;55539;4194647;106600;203939;449087;769898;686;55590;14946;29202;4194647;4322819;29483;2879;1013223;3363368;1070;616080;319;3714784;186130;3461801;2691
71;0;334793;31191;1735492;607458;0;5246693;0;0;624129;7895618;3959;26187;45959;660938;0;0;0;0;234;0;262897;422;2400;38938;12734;2517;0;0;0;262897;101656;0;828;79798;57133;0;46133;0;40218;975;184120;70
72;0;542566;71659;2988200;973462;0;7536083;0;519212;708482;13859296;27320;255733;2832;2785564;0;0;0;0;14691;12874;519068;2138;43505;58606;87398;1782;12874;28887;915910;519068;554425;3287;1416;367023;622047;0;195041;518;256441;0;159845;0
73;0;25912;11825;1414884;965754;0;7606413;0;363641;2305917;4966209;4004;210885;21459;559530;0;0;0;0;4301;51797;420787;88761;85292;196823;260083;0;51797;54503;801274;420787;895535;0;10480;264714;1576428;0;172807;169;180193;6610;338171;415
74;0;573966;64099;8432667;4820410;0;31376839;0;1899204;3223555;19367498;185200;2128949;568287;7659580;0;0;0;0;84317;51005;3691976;85309;602650;1172661;2196940;5824;51005;167025;1629134;3691976;5106711;19948;19469;1683456;3416736;0;1202914;667;3769392;72025;4838418;7526
75;0;469039;51194;9694288;3140153;0;26134820;0;811757;2804067;20328150;77034;1070051;102511;2490539;0;0;0;0;113944;21389;1497735;58357;764830;545868;1437034;6417;21389;50785;464899;1497735;4207019;15809;0;2038693;2462810;0;433569;3938;1626271;334840;5255433;6438
